,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,sqft_above,sqft_basement,yr_built
price,1.0,0.2150254417711687,0.5469530948491703,0.7047723328872758,0.26481952383655194,0.40364372802722115,0.6932364350880285,0.11338925504632258,0.45834022039959654
bedrooms,0.2150254417711687,1.0,0.5067980453396099,0.4921130509884748,0.053523871195414116,0.0433782985726515,0.27724114854657717,0.4237547564810286,0.20818072417546246
bathrooms,0.5469530948491703,0.5067980453396099,1.0,0.8029689207488743,0.20621892916780707,0.5127723703906336,0.7163510366808321,0.2516048292916976,0.6516835046916176
sqft_living,0.7047723328872758,0.4921130509884748,0.8029689207488743,1.0,0.3077961954090957,0.4907265434760822,0.8362294311360515,0.4064763296685436,0.6256555904136499
sqft_lot,0.26481952383655194,0.053523871195414116,0.20621892916780707,0.3077961954090957,1.0,0.1651851479076708,0.3477287130598536,-0.025405358906934194,-0.0019107605753709005
floors,0.40364372802722115,0.0433782985726515,0.5127723703906336,0.4907265434760822,0.1651851479076708,1.0,0.727722319043104,-0.3292920447795859,0.6975405315886074
sqft_above,0.6932364350880285,0.27724114854657717,0.7163510366808321,0.8362294311360515,0.3477287130598536,0.727722319043104,1.0,-0.1611258822887953,0.6900999924213805
sqft_basement,0.11338925504632258,0.4237547564810286,0.2516048292916976,0.4064763296685436,-0.025405358906934194,-0.3292920447795859,-0.1611258822887953,1.0,-0.023773627835637252
yr_built,0.45834022039959654,0.20818072417546246,0.6516835046916176,0.6256555904136499,-0.0019107605753709005,0.6975405315886074,0.6900999924213805,-0.023773627835637252,1.0
